Feature Link,Total
ABC-1,84
ABC-2,45
ABC-3,32
ABC-4,52
ABC-5,104
ABC-6,128
ABC-7,14
ABC-8,56
ABC-9,37
ABC-10,18
ABC-11,70
ABC-12,28
ABC-13,30
ABC-14,32
ABC-15,20
ABC-16,15
ABC-17,30
ABC-18,59
ABC-19,21
ABC-20,16
ABC-21,17
ABC-22,27
ABC-23,18
ABC-24,23
ABC-25,10
ABC-26,26
ABC-27,16
ABC-28,78
ABC-29,31
ABC-30,24
ABC-31,14
ABC-32,8
ABC-33,25
ABC-34,11
ABC-35,8
ABC-36,21
ABC-37,7
ABC-38,16
ABC-39,4
ABC-40,16
ABC-41,12
ABC-42,114
ABC-43,54
ABC-44,9
ABC-45,23
ABC-46,19
ABC-47,21
ABC-48,23
ABC-49,16
ABC-50,4
ABC-51,14
ABC-52,3
ABC-53,17
ABC-54,15
ABC-55,2
ABC-56,84
ABC-57,52
ABC-58,49
ABC-59,16
ABC-60,14
ABC-61,37
ABC-62,27
ABC-63,21
ABC-64,4
ABC-65,18
ABC-66,2
ABC-67,9
ABC-68,8
ABC-69,25
ABC-70,2
ABC-71,5
ABC-72,4
ABC-73,2
ABC-74,10
ABC-75,3
ABC-76,3
ABC-77,4
ABC-78,2
ABC-79,8
ABC-80,3
ABC-81,28
ABC-82,7
ABC-83,35
ABC-84,6
ABC-85,8
ABC-86,4
ABC-87,8
ABC-88,5
ABC-89,7
ABC-90,3
ABC-91,1
ABC-92,2
ABC-93,3
ABC-94,15
ABC-95,2
ABC-96,15
ABC-97,11
ABC-98,24
ABC-99,32
ABC-100,13
ABC-101,4
ABC-102,6
ABC-103,11
ABC-104,22
ABC-105,11
ABC-106,1
ABC-107,47
ABC-108,6
ABC-109,22
ABC-110,10
ABC-111,10
ABC-112,43
ABC-113,27
ABC-114,5
ABC-115,3
ABC-116,24
ABC-117,3
ABC-118,1
ABC-119,22
ABC-120,23
ABC-121,8
ABC-122,4
ABC-123,7
ABC-124,9
ABC-125,5
ABC-126,1
ABC-127,9
ABC-128,17
ABC-129,15
ABC-130,1
ABC-131,1
ABC-132,12
ABC-133,24
ABC-134,4
ABC-135,12
ABC-136,5
ABC-137,12
ABC-138,14
ABC-139,3
ABC-140,2
ABC-141,1
ABC-142,1
ABC-143,1
ABC-144,3
ABC-145,3
ABC-146,6
ABC-147,23
ABC-148,7
ABC-149,25
ABC-150,9
ABC-151,6
ABC-152,24
ABC-153,22
ABC-154,13
ABC-155,1
ABC-156,1
ABC-157,4
ABC-158,1
ABC-159,1
ABC-160,1
ABC-161,1
ABC-162,1
ABC-163,2
ABC-164,2
ABC-165,8
ABC-166,3
ABC-167,16
ABC-168,5
ABC-169,2
ABC-170,1
ABC-171,5
ABC-172,2
ABC-173,6
ABC-174,9
ABC-175,4
ABC-176,14
ABC-177,16
ABC-178,2
ABC-179,18
ABC-180,8
ABC-181,3
ABC-182,5
ABC-183,1
ABC-184,1
ABC-185,3
ABC-186,11
ABC-187,4
ABC-188,7
ABC-189,13
ABC-190,6
ABC-191,4
ABC-192,1
ABC-193,2
ABC-194,1
ABC-195,4
ABC-196,3
ABC-197,59
ABC-198,1
ABC-199,4
ABC-200,15
ABC-201,1
ABC-202,1
ABC-203,35
ABC-204,42
ABC-205,42
ABC-206,14
ABC-207,2
ABC-208,14
ABC-209,4
ABC-210,2
ABC-211,15
ABC-212,1
ABC-213,3
ABC-214,1
ABC-215,8
ABC-216,8
ABC-217,1
ABC-218,2
ABC-219,17
ABC-220,2
ABC-221,11
ABC-222,13
ABC-223,1
ABC-224,1
ABC-225,3
ABC-226,2
ABC-227,2
ABC-228,1
ABC-229,7
ABC-230,20
ABC-231,22
ABC-232,3
ABC-233,7
ABC-234,29
ABC-235,4
ABC-236,7
ABC-237,5
ABC-238,9
ABC-239,11
ABC-240,23
ABC-241,1
ABC-242,1
ABC-243,7
ABC-244,1
ABC-245,9
ABC-246,6
ABC-247,2
ABC-248,4
ABC-249,2
ABC-250,14
ABC-251,3
ABC-252,2
ABC-253,50
ABC-254,3
ABC-255,5
ABC-256,1
ABC-257,5
ABC-258,4
ABC-259,17
ABC-260,5
ABC-261,4
ABC-262,12
ABC-263,5
ABC-264,8
ABC-265,13
ABC-266,15
ABC-267,7
ABC-268,1
ABC-269,2
ABC-270,1
ABC-271,4
ABC-272,3
ABC-273,3
ABC-274,4
ABC-275,3
ABC-276,12
ABC-277,1
ABC-278,6
ABC-279,4
ABC-280,3
ABC-281,5
ABC-282,17
ABC-283,35
ABC-284,4
ABC-285,5
ABC-286,7
ABC-287,19
ABC-288,12
ABC-289,3
ABC-290,1
ABC-291,7
ABC-292,6
ABC-293,5
ABC-294,3
ABC-295,6
ABC-296,26
ABC-297,1
ABC-298,10
ABC-299,1
ABC-300,19
ABC-301,6
ABC-302,14
ABC-303,13
ABC-304,2
ABC-305,10
ABC-306,1
ABC-307,2
ABC-308,7
ABC-309,2
ABC-310,8
ABC-311,2
ABC-312,2
ABC-313,4
ABC-314,3
ABC-315,1
ABC-316,8
ABC-317,9
ABC-318,5
ABC-319,1
ABC-320,1
ABC-321,1
ABC-322,1
ABC-323,3
ABC-324,2
ABC-325,2
ABC-326,14
ABC-327,1
ABC-328,6
ABC-329,1
ABC-330,1
ABC-331,9
ABC-332,3
ABC-333,6
ABC-334,6
ABC-335,1
ABC-336,1
