Key,Cost of Delay,Resolved Name,Story Points,Created Date,First In Progress Date,Last Resolved Date,Cycle Time (Bus. Days),Lead Time (Bus. Days),Epic Name
KEY-100,Expedite,Rejected,0,2018-10-05T09:56:01,2019-01-22T08:23:01,2019-01-22T08:24:01,1,79,Create new customer channel
KEY-101,Expedite,Released,0,2018-10-05T09:57:01,2018-11-13T11:32:01,2018-11-13T11:32:01,1,28,Create new customer channel
KEY-102,Expedite,Released,0,2018-10-05T09:57:01,2019-01-22T08:24:01,2019-01-24T10:44:01,3,80,Create new customer channel
KEY-103,Expedite,Duplicate,0,2018-10-05T09:57:01,2019-01-14T16:43:01,2019-01-22T08:29:01,6,79,Create new customer channel
KEY-104,Standard,Released,0,2018-10-05T09:57:01,2019-01-22T08:24:01,2019-01-22T08:25:01,1,79,Create new customer channel
KEY-106,Standard,Released,0,2018-10-05T09:58:01,2019-01-22T08:25:01,2019-02-13T12:32:01,17,94,Acquire VC funding
KEY-107,Expedite,Released,0,2018-10-05T09:58:01,2018-10-05T13:17:01,2018-10-05T13:17:01,1,1,Acquire VC funding
KEY-108,Standard,Released,0,2018-10-05T09:58:01,2018-10-08T17:19:01,2018-10-16T14:20:01,6,8,Acquire VC funding
KEY-109,Standard,Released,0,2018-10-05T09:59:01,2019-01-22T08:27:01,2019-01-24T09:54:01,3,79,Acquire VC funding
KEY-110,Standard,Released,8,2018-10-05T09:59:01,2018-10-08T16:56:01,2019-04-23T15:16:01,141,143,Acquire VC funding
KEY-111,Standard,Released,0,2018-10-05T10:00:01,2018-10-05T10:22:01,2018-10-08T16:36:01,2,4,Acquire VC funding
KEY-112,Expedite,Released,0,2018-10-05T10:01:01,2018-10-05T13:20:01,2018-10-05T13:21:01,1,1,Acquire VC funding
KEY-113,Standard,Released,0,2018-10-05T10:01:01,2018-10-05T13:18:01,2018-10-08T16:36:01,2,4,Acquire VC funding
KEY-114,Standard,Released,0,2018-10-05T10:02:01,2018-10-11T10:06:01,2018-10-22T13:59:01,8,14,Acquire VC funding
