Key,History End,To Do In,To Do Out,In Progress In,In Progress Out,Done In,Done Out
ABC-1,2018-10-22T13:51:01,1,,,,,
ABC-2,2018-10-22T14:41:01,,1,1,,,
ABC-3,2018-10-22T14:41:01,,,,,,
ABC-4,2018-10-22T14:41:01,,,,1,1,
ABC-5,2018-10-15T11:45:01,1,,,,,
ABC-6,2018-10-15T11:50:01,,1,1,,,
ABC-7,2019-01-30T12:33:01,,,,,,
ABC-8,2019-01-30T12:33:01,,,,1,1,
ABC-9,2018-10-24T09:29:01,1,,,,,
ABC-10,2018-11-02T11:21:01,,1,1,,,
ABC-11,2018-11-02T11:22:01,,,,,,
ABC-12,2018-11-02T11:22:01,,,,1,1,
ABC-13,2018-10-24T09:17:01,1,,,,,
ABC-14,2018-12-04T10:25:01,,1,1,,,
ABC-15,2019-01-22T08:31:01,,,,,,
ABC-16,2019-01-22T08:31:01,,,,1,1,
ABC-17,2018-10-23T15:02:01,1,,,,,
ABC-18,2018-10-23T15:03:01,,1,1,,,
ABC-19,2018-10-23T15:03:01,,,,,,
ABC-20,2019-01-15T13:13:01,1,,,,,
ABC-21,2019-03-18T10:35:01,,1,1,,,
ABC-22,2019-03-18T10:35:01,,,,,,
ABC-23,2019-03-18T10:35:01,,,,1,1,
ABC-24,2019-01-15T13:02:01,1,,,,,
ABC-25,2019-03-18T10:35:01,,1,1,,,
ABC-26,2019-03-18T10:35:01,,,,,,
ABC-27,2019-03-18T10:35:01,,,,1,1,
ABC-28,2019-01-15T12:45:01,1,,,,,
ABC-29,2019-03-18T10:35:01,,1,1,,,
ABC-30,2019-03-18T10:35:01,,,,,,
ABC-31,2019-03-18T10:35:01,,,,1,1,
ABC-32,2018-10-04T13:34:01,1,,,,,
ABC-33,2018-10-05T10:49:01,,1,1,,,
ABC-34,2018-10-05T10:49:01,,,,,,
ABC-35,2018-10-05T10:50:01,,,,1,1,
ABC-36,2018-10-04T13:34:01,1,,,,,
ABC-37,2018-10-05T10:48:01,,1,1,,,
ABC-38,2018-10-05T10:48:01,,,,,,
ABC-39,2018-10-05T10:48:01,,,,1,1,
ABC-40,2018-10-04T13:36:01,1,,,,,
ABC-41,2019-01-30T12:40:01,,1,1,,,
ABC-42,2019-01-30T12:40:01,,,,,,
ABC-43,2019-01-30T12:41:01,,,,1,1,
ABC-44,2018-10-04T13:35:01,1,,,,,
ABC-45,2019-01-30T12:39:01,,1,1,,,
ABC-46,2019-01-30T12:40:01,,,,,,
ABC-47,2019-01-30T12:40:01,,,,1,1,
ABC-48,2018-10-04T13:35:01,1,,,,,
ABC-49,2019-01-30T12:39:01,,1,1,,,
ABC-50,2019-01-30T12:39:01,,,,,,
ABC-51,2019-01-30T12:39:01,,,,1,1,
ABC-52,2018-10-04T13:39:01,1,,,,,
ABC-53,2018-10-26T09:48:01,,1,1,,,
ABC-54,2018-11-02T11:26:01,,,,,,
ABC-55,2018-12-04T15:07:01,,,,1,1,
ABC-56,2018-10-04T13:38:01,1,,,,,
ABC-57,2019-01-30T12:42:01,,1,1,,,
ABC-58,2019-01-30T12:43:01,,,,,,
ABC-59,2019-01-30T12:43:01,,,,1,1,
ABC-60,2018-10-04T13:38:01,1,,,,,
ABC-61,2019-01-30T12:42:01,,1,1,,,
ABC-62,2019-01-30T12:42:01,,,,,,
ABC-63,2019-01-30T12:42:01,,,,1,1,
ABC-64,2018-10-04T13:37:01,1,,,,,
ABC-65,2019-01-30T12:41:01,,1,1,,,
ABC-66,2019-01-30T12:41:01,,,,,,
ABC-67,2019-01-30T12:42:01,,,,1,1,
ABC-68,2018-10-04T13:37:01,1,,,,,
ABC-69,2019-01-30T12:41:01,,1,1,,,
ABC-70,2019-01-30T12:41:01,,,,,,
ABC-71,2019-01-30T12:41:01,,,,1,1,
ABC-72,2018-10-04T13:40:01,1,,,,,
ABC-73,2019-01-30T12:44:01,,1,1,,,
ABC-74,2019-01-30T12:45:01,,,,,,
ABC-75,2019-01-30T12:49:01,,,,1,1,
ABC-76,2018-10-04T13:39:01,1,,,,,
ABC-77,2019-01-30T12:43:01,,1,1,,,
ABC-78,2019-01-30T12:44:01,,,,,,
ABC-79,2019-01-30T12:44:01,,,,1,1,
ABC-80,2018-10-04T13:56:01,1,,,,,
ABC-81,2018-10-16T17:37:01,,1,1,,,
ABC-82,2018-10-22T09:02:01,,,,,,
ABC-83,2018-10-22T09:02:01,,,,1,1,
ABC-84,2018-10-04T13:55:01,1,,,,,
ABC-85,2019-01-30T12:35:01,,1,1,,,
ABC-86,2019-01-30T12:35:01,,,,,,
ABC-87,2019-01-30T12:35:01,,,,1,1,
ABC-88,2018-10-04T13:55:01,1,,,,,
ABC-89,2019-01-30T12:35:01,,1,1,,,
ABC-90,2019-01-30T12:35:01,,,,,,
ABC-91,2019-01-30T12:36:01,,,,1,1,
ABC-92,2018-10-04T13:53:01,1,,,,,
ABC-93,2018-10-16T17:37:01,,1,1,,,
ABC-94,2018-11-02T11:25:01,,,,,,
ABC-95,2018-11-02T11:25:01,,,,1,1,
ABC-96,2018-10-04T13:52:01,1,,,,,
ABC-97,2019-01-30T12:36:01,,1,1,,,
ABC-98,2019-01-30T12:36:01,,,,,,
ABC-99,2019-01-30T12:36:01,,,,1,1,
ABC-100,2018-10-04T13:52:01,1,,,,,
ABC-101,2018-10-16T17:37:01,,1,1,,,
ABC-102,2018-11-02T11:26:01,,,,,,
ABC-103,2018-11-05T16:15:01,,,,1,1,
ABC-104,2018-10-04T13:52:01,1,,,,,
ABC-105,2018-10-16T17:37:01,,1,1,,,
ABC-106,2018-11-02T11:24:01,,,,,,
ABC-107,2018-11-13T11:45:01,,,,1,1,
ABC-108,2018-10-04T13:51:01,1,,,,,
ABC-109,2019-01-30T12:36:01,,1,1,,,
ABC-110,2019-01-30T12:36:01,,,,,,
