Key,First In Progress Date,Last Resolved Date,inprog,resolved,a
KEY-125,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-058,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-134,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-135,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-128,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-145,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-099,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-100,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-290,2017-01-03T02:12:01,2017-08-18T00:00:00,3/01/2017,18/08/2017,227
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-095,2017-05-15T22:28:01,2018-03-08T00:00:00,15/05/2017,8/03/2018,297
KEY-018,2017-05-23T01:06:01,2017-10-03T00:00:00,23/05/2017,3/10/2017,133
KEY-240,2017-05-29T13:07:01,2018-01-02T00:00:00,29/05/2017,2/01/2018,218
KEY-116,2017-06-19T08:15:01,2017-10-01T00:00:00,19/06/2017,1/10/2017,104
KEY-093,2017-07-17T03:41:01,2017-09-11T00:00:00,17/07/2017,11/09/2017,56
KEY-085,2017-07-27T01:36:01,2017-11-07T00:00:00,27/07/2017,7/11/2017,103
KEY-011,2017-08-30T02:30:01,2018-03-16T00:00:00,30/08/2017,16/03/2018,198
KEY-020,2017-09-06T19:42:01,2018-04-03T00:00:00,6/09/2017,3/04/2018,209
KEY-117,2017-09-19T03:39:01,2018-06-18T00:00:00,19/09/2017,18/06/2018,272
KEY-118,2017-09-19T03:39:01,2018-04-16T00:00:00,19/09/2017,16/04/2018,209
KEY-089,2017-10-04T07:57:01,2018-05-13T00:00:00,4/10/2017,13/05/2018,221
KEY-300,2017-10-17T05:48:01,2018-05-27T00:00:00,17/10/2017,27/05/2018,222
KEY-101,2017-10-20T02:47:01,2018-08-07T00:00:00,20/10/2017,7/08/2018,291
KEY-104,2017-10-20T05:38:01,2018-01-05T00:00:00,20/10/2017,5/01/2018,77
KEY-123,2017-10-25T00:28:01,2018-01-08T00:00:00,25/10/2017,8/01/2018,75
KEY-119,2017-11-20T04:09:01,2017-12-08T00:00:00,20/11/2017,8/12/2017,18
KEY-105,2017-11-21T05:30:01,2018-02-28T00:00:00,21/11/2017,28/02/2018,99
KEY-106,2017-11-22T23:22:01,2018-02-04T00:00:00,22/11/2017,4/02/2018,74
KEY-173,2017-11-22T03:28:01,2018-04-21T00:00:00,22/11/2017,21/04/2018,150
KEY-019,2017-12-07T01:34:01,2018-02-20T00:00:00,7/12/2017,20/02/2018,75
KEY-301,2018-01-09T11:38:01,2018-07-09T00:00:00,9/01/2018,9/07/2018,181
KEY-141,2018-01-14T22:25:01,2018-06-24T00:00:00,14/01/2018,24/06/2018,161
KEY-172,2018-01-18T05:33:01,2018-05-20T00:00:00,18/01/2018,20/05/2018,122
KEY-174,2018-01-24T03:11:01,2018-10-20T00:00:00,24/01/2018,20/10/2018,269
KEY-079,2018-01-31T07:32:01,2018-11-02T00:00:00,31/01/2018,2/11/2018,275
KEY-136,2018-02-02T01:57:01,2018-10-11T00:00:00,2/02/2018,11/10/2018,251
KEY-143,2018-02-02T02:10:01,2018-07-19T00:00:00,2/02/2018,19/07/2018,167
KEY-094,2018-02-14T03:21:01,2018-04-17T00:00:00,14/02/2018,17/04/2018,62
KEY-224,2018-02-15T11:38:01,2018-12-01T00:00:00,15/02/2018,1/12/2018,289
KEY-067,2018-02-23T00:23:01,2018-08-17T00:00:00,23/02/2018,17/08/2018,175
KEY-272,2018-02-26T15:31:01,2018-04-13T00:00:00,26/02/2018,13/04/2018,46
KEY-273,2018-02-26T11:55:01,2018-07-10T00:00:00,26/02/2018,10/07/2018,134
KEY-086,2018-02-27T00:45:01,2018-10-06T00:00:00,27/02/2018,6/10/2018,221
KEY-277,2018-02-27T12:59:01,2018-10-11T00:00:00,27/02/2018,11/10/2018,226
KEY-268,2018-02-28T17:58:01,2018-10-11T00:00:00,28/02/2018,11/10/2018,225
KEY-269,2018-02-28T14:27:01,2018-06-17T00:00:00,28/02/2018,17/06/2018,109
KEY-270,2018-02-28T11:54:01,2018-12-09T00:00:00,28/02/2018,9/12/2018,284
KEY-144,2018-03-04T23:20:01,2018-06-18T00:00:00,4/03/2018,18/06/2018,106
KEY-147,2018-03-05T03:42:01,2018-12-06T00:00:00,5/03/2018,6/12/2018,276
KEY-150,2018-03-14T00:21:01,2018-06-25T00:00:00,14/03/2018,25/06/2018,103
KEY-284,2018-03-23T18:22:01,2018-09-18T00:00:00,23/03/2018,18/09/2018,179
KEY-177,2018-04-09T05:11:01,2018-07-11T00:00:00,9/04/2018,11/07/2018,93
KEY-285,2018-04-18T15:27:01,2019-01-07T00:00:00,18/04/2018,7/01/2019,264
KEY-087,2018-04-19T04:31:01,2018-11-30T00:00:00,19/04/2018,30/11/2018,225
KEY-148,2018-04-20T03:54:01,2018-07-15T00:00:00,20/04/2018,15/07/2018,86
KEY-176,2018-04-20T04:41:01,2018-08-19T00:00:00,20/04/2018,19/08/2018,121
KEY-278,2018-04-26T17:10:01,2018-08-18T00:00:00,26/04/2018,18/08/2018,114
KEY-157,2018-04-30T02:19:01,2018-06-18T00:00:00,30/04/2018,18/06/2018,49
KEY-279,2018-05-01T06:02:01,2018-07-03T00:00:00,1/05/2018,3/07/2018,63
KEY-152,2018-05-08T03:23:01,2018-10-16T00:00:00,8/05/2018,16/10/2018,161
KEY-281,2018-05-08T03:04:01,2018-05-31T00:00:00,8/05/2018,31/05/2018,23
KEY-155,2018-05-09T22:40:01,2018-07-04T00:00:00,9/05/2018,4/07/2018,56
KEY-156,2018-05-10T02:30:01,2019-02-10T00:00:00,10/05/2018,10/02/2019,276
KEY-149,2018-05-15T01:24:01,2018-09-18T00:00:00,15/05/2018,18/09/2018,126
KEY-175,2018-05-15T02:11:01,2019-02-26T00:00:00,15/05/2018,26/02/2019,287
KEY-120,2018-06-04T00:08:01,2018-12-12T00:00:00,4/06/2018,12/12/2018,191
KEY-159,2018-06-05T07:04:01,2019-03-07T00:00:00,5/06/2018,7/03/2019,275
KEY-083,2018-06-06T05:24:01,2018-10-21T00:00:00,6/06/2018,21/10/2018,137
KEY-121,2018-06-14T08:36:01,2019-03-03T00:00:00,14/06/2018,3/03/2019,262
KEY-091,2018-06-21T00:08:01,2018-09-01T00:00:00,21/06/2018,1/09/2018,72
KEY-088,2018-06-25T04:30:01,2018-11-05T00:00:00,25/06/2018,5/11/2018,133
KEY-178,2018-07-05T07:15:01,2019-04-11T00:00:00,5/07/2018,11/04/2019,280
KEY-158,2018-07-31T00:08:01,2018-08-11T00:00:00,31/07/2018,11/08/2018,11
KEY-160,2018-08-27T23:40:01,2018-09-13T00:00:00,27/08/2018,13/09/2018,17
KEY-179,2018-08-28T01:19:01,2019-01-10T00:00:00,28/08/2018,10/01/2019,135
KEY-217,2018-10-04T13:31:01,2018-11-02T00:00:00,4/10/2018,2/11/2018,29
KEY-107,2018-10-15T08:17:01,2019-05-31T00:00:00,15/10/2018,31/05/2019,228
KEY-154,2018-10-30T04:19:01,2019-02-17T00:00:00,30/10/2018,17/02/2019,110
KEY-109,2018-11-05T02:31:01,2019-07-16T00:00:00,5/11/2018,16/07/2019,253
KEY-153,2018-11-06T22:59:01,2019-04-15T00:00:00,6/11/2018,15/04/2019,160
KEY-137,2018-11-07T00:04:01,2018-12-03T00:00:00,7/11/2018,3/12/2018,26
KEY-084,2018-11-08T05:29:01,2019-01-07T00:00:00,8/11/2018,7/01/2019,60
KEY-108,2018-11-08T05:51:01,2019-06-11T00:00:00,8/11/2018,11/06/2019,215
KEY-171,2018-11-08T07:16:01,2019-03-14T00:00:00,8/11/2018,14/03/2019,126
KEY-185,2018-11-19T05:01:01,2019-08-04T00:00:00,19/11/2018,4/08/2019,258
KEY-161,2018-12-03T23:06:01,2019-06-28T00:00:00,3/12/2018,28/06/2019,207
KEY-169,2018-12-10T23:54:01,2018-12-24T00:00:00,10/12/2018,24/12/2018,14
KEY-183,2018-12-10T06:04:01,2019-01-02T00:00:00,10/12/2018,2/01/2019,23
KEY-184,2018-12-11T05:07:01,2019-06-06T00:00:00,11/12/2018,6/06/2019,177
KEY-163,2019-01-02T02:31:01,2019-01-21T00:00:00,2/01/2019,21/01/2019,19
KEY-124,2019-01-07T05:33:01,2019-01-19T00:00:00,7/01/2019,19/01/2019,12
KEY-165,2019-01-09T22:48:01,2019-01-23T00:00:00,9/01/2019,23/01/2019,14
KEY-151,2019-01-21T01:34:01,2019-01-30T00:00:00,21/01/2019,30/01/2019,9
KEY-110,2019-01-24T21:18:01,2019-02-10T00:00:00,24/01/2019,10/02/2019,17
KEY-181,2019-02-04T04:53:01,2019-02-14T00:00:00,4/02/2019,14/02/2019,10
KEY-187,2019-02-10T23:36:01,2019-02-20T00:00:00,10/02/2019,20/02/2019,10
KEY-182,2019-02-18T00:39:01,2019-03-07T00:00:00,18/02/2019,7/03/2019,17
KEY-186,2019-02-21T23:55:01,2019-03-07T00:00:00,21/02/2019,7/03/2019,14
KEY-180,2019-03-05T04:59:01,2019-03-19T00:00:00,5/03/2019,19/03/2019,14
KEY-146,2019-03-08T02:59:01,2019-03-14T00:00:00,8/03/2019,14/03/2019,6
KEY-112,2019-04-11T00:43:01,2019-04-22T00:00:00,11/04/2019,22/04/2019,11
KEY-113,2019-06-07T05:54:01,2019-06-16T00:00:00,7/06/2019,16/06/2019,9
KEY-111,2019-06-11T07:51:01,2019-06-24T00:00:00,11/06/2019,24/06/2019,13
KEY-166,2019-06-19T07:00:01,2019-06-24T00:00:00,19/06/2019,24/06/2019,5
KEY-167,2019-06-19T03:21:01,2019-07-06T00:00:00,19/06/2019,6/07/2019,17
KEY-164,2019-07-01T01:52:01,2019-07-15T00:00:00,1/07/2019,15/07/2019,14
KEY-162,2019-07-04T01:48:01,2019-07-18T00:00:00,4/07/2019,18/07/2019,14
KEY-168,2019-07-10T03:58:01,2019-07-23T00:00:00,10/07/2019,23/07/2019,13
KEY-072,2019-07-14T23:51:01,2019-07-21T00:00:00,14/07/2019,21/07/2019,7
KEY-073,2019-08-13T21:17:01,2019-08-22T00:00:00,13/08/2019,22/08/2019,9
KEY-188,2019-08-29T01:37:01,2019-09-04T00:00:00,29/08/2019,4/09/2019,6
KEY-021,2019-09-02T09:25:01,2019-09-21T00:00:00,2/09/2019,21/09/2019,19
