Story Points,Epic Size,Story Cycle Time (Bus. Days),Story Lead Time (Bus. Days),Epic Cycle Time (Bus. Days),Epic Lead Time (Bus. Days),Feature Cycle Time (Bus. Days),Feature Lead Time (Bus. Days),Theme Cycle Time (Bus. Days),Theme Lead Time (Bus. Days),To Do,Data analysis,Ready for Dev,In Progress,In Dev,In Test,Test Failed,In Review,Blocked,Ready for Test,Story Done
3,16,8,20,46,59,46,81,68,81,10,0,0,7,0,0,0,0,0,0,46
1,16,2,35,46,59,46,81,68,81,33,0,0,1,0,0,0,0,0,0,30
5,16,5,39,46,59,46,81,68,81,35,0,0,5,0,0,0,0,0,0,25
0,16,1,5,46,59,46,81,68,81,7,0,0,1,0,0,0,0,0,0,42
3,16,9,27,46,59,46,81,68,81,18,0,0,7,0,0,0,0,0,0,9
3,16,1,6,46,59,46,81,68,81,8,0,0,1,0,0,0,0,0,0,23
1,16,1,5,46,59,46,81,68,81,4,0,0,1,0,0,0,0,0,0,23
0,16,1,26,49,64,149,164,219,223,26,0,0,1,0,0,0,0,0,0,33
0,16,3,5,49,64,149,164,219,223,3,0,0,3,0,0,0,0,0,0,46
0,16,5,7,49,64,149,164,219,223,2,0,0,1,0,0,0,0,0,0,23
3,16,4,25,49,64,149,164,219,223,19,0,0,1.5,0,0,0,1.5,0,0,1
3,8,3,14,33,39,149,164,219,223,10,0,0,2,0,0,0,0,0,0,11
2,35,8,15,67,68,109,109,115,144,9,0,0,8,0,0,0,0,0,0,77
5,6,1,16,17,26,47,56,224,225,18,0,0,1,0,0,0,0,0,0,47
4,6,7,17,17,26,47,56,224,225,10,0,0,7,0,0,0,0,0,0,48
5,6,1,26,17,26,47,56,224,225,26,0,0,1,0,0,0,0,0,0,39
3,18,8,15,47,55,47,56,224,225,9,0,0,8,0,0,0,0,0,0,47
2,18,8,15,47,55,47,56,224,225,9,0,0,8,0,0,0,0,0,0,47
3,18,9,25,47,55,47,56,224,225,18,0,0,9,0,0,0,0,0,0,37
2,18,9,25,47,55,47,56,224,225,18,0,0,9,0,0,0,0,0,0,37
3,18,8,35,47,55,47,56,224,225,30,0,0,8,0,0,0,0,0,0,27
2,18,8,35,47,55,47,56,224,225,30,0,0,8,0,0,0,0,0,0,27
3,18,9,45,47,55,47,56,224,225,38,0,0,9,0,0,0,1,0,0,17
2,18,9,45,47,55,47,56,224,225,38,0,0,9,0,0,0,1,0,0,17
3,18,10,55,47,55,47,56,224,225,48,0,0,9,0,0,0,1,0,0,7
2,18,10,55,47,55,47,56,224,225,48,0,0,9,0,0,0,1,0,0,7
3,35,13,25,67,68,109,109,115,144,14,0,0,11,0,0,0,0,0,0,37
3,14,7,45,20,59,109,109,115,144,41,0,0,7,0,0,0,0,0,0,17
3,14,9,55,20,59,109,109,115,144,49,0,0,9,0,0,0,0,0,0,7
0,6,1,59,19,72,84,89,115,144,59,0,0,1,0,0,0,0,0,0,6
2,8,7,18,10,18,70,70,121,128,8.5,0,0,1,0,0,0,0,0,0,6
2,8,8,14,10,18,70,70,121,128,7,0,0,6,0,0,0,0,0,0,8
2,8,1,18,10,18,70,70,121,128,16,0,0,1,0,0,0,0,0,0,6
5,104,1,15,15,20,15,20,15,19,15,0,0,0,0,0,0,0,1,0,0
2,104,5,8,15,20,15,20,15,19,4,0,1,0,2,2,0,0,2,0,0
1,16,2,8,7,14,15,20,15,19,7,0,0,0,1,1,0,0,1,0,0
1,2,4,10,5,14,15,20,15,19,8,0,0,0,1,4,0,0,0,0,0
1,17,1,16,1,16,10,20,15,19,13,0,0,0,0,0,1,0,0,4,0
1,104,6,11,15,20,15,20,15,19,3,0,0,0,1,0,0,0,1,0,0
3,104,9,9,15,20,15,20,15,19,1,1,9,0,0,0,0,0,0,0,0
8,104,12,10,15,20,15,20,15,19,5,0,1,0,0,0,0,3,0,0,0
8,104,12,10,15,20,15,20,15,19,5,0,1,0,0,0,0,3,0,0,0
0,104,11,11,15,20,15,20,15,19,1,7,5,0,0,0,0,0,0,0,0
0,15,2,2,3,8,15,20,15,19,1,0,0,0,1,1,0,0,1,0,0
0,15,5,3,3,8,15,20,15,19,1,0,0,0,1,1,0,0,1,0,0
0,15,1,1,3,8,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
0,15,5,3,3,8,15,20,15,19,1.5,0,0,0,1,2,0,0,1,0,0
0,15,1,1,3,8,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
0,15,2,2,3,8,15,20,15,19,1,0,0,0,1,1,0,0,1,0,0
0,15,1,1,3,8,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
0,15,1,1,3,8,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
0,15,1,1,3,8,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
0,15,1,1,3,8,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
0,15,1,1,7,7,15,20,15,19,1,0,0,0,0,0,0,0,1,0,0
